Buffer Size,Med of 10,Num Distinct Elements,Accuracy
1,370968.8470973382,500001,74.19362103222558
2,332865.9220887313,500001,66.57305127164372
4,479890.926039499,500001,95.97799325191329
5,501330.3318340927,500001,99.73413416491313
7,469319.3011266965,500001,93.86367249799432
10,493135.04321259033,500001,98.62681138889529
12,431737.43702129205,500001,86.34731470962899
15,503496.2565267501,500001,99.3009500927498
19,458947.49979073805,500001,91.78931637951486
23,458864.16251152277,500001,91.77264895700664
28,525753.8986852957,500001,94.84943056407973
33,507607.51707576244,500001,98.47869962744825
40,491118.3514206477,500001,98.22347383718186
47,491759.4035331784,500001,98.35168400326766
55,482909.5603123009,500001,96.58171889902238
65,477665.3861937961,500001,95.53288617298688
75,481446.21083382727,500001,96.28904958866627
88,493421.0444224619,500001,98.68401151646934
101,477494.52676643024,500001,95.49871435585735
117,479865.57356863545,500001,95.97292276788156
135,474369.64845265565,500001,94.87373994305123
155,505827.79370976234,500001,98.83464358876036
178,510666.0494772687,500001,97.86699437055752
204,490970.7312507812,500001,98.19394986225652
233,516730.25370784174,500001,96.65415595011974
266,492265.22806494974,500001,98.45284870729253
303,497099.84144755965,500001,99.41976944997303
345,496235.21056423243,500001,99.24684361915925
392,510523.10450946767,500001,97.89558330693986
445,505537.81378498615,500001,98.89263945772385
505,490908.0217203503,500001,98.1814079812541
572,502595.55009723594,500001,99.48109101837078
648,489462.3849991113,500001,97.89228121525983
733,508191.2329043595,500001,98.3619566952147
828,503903.4630848706,500001,99.219508944008
934,510270.65255227714,500001,97.94607359739737
1054,504571.4439475745,500001,99.08591303865903
1188,509987.5036172592,500001,98.00270327114161
1338,501025.9958148501,500001,99.7950012470275
1506,503866.44354716723,500001,99.22691283674088
1694,506277.0288891855,500001,98.74479673256943
1905,496074.4346419388,500001,99.21468849901076
2140,504452.7762052024,500001,99.10964653966644
2403,499615.53559328127,500001,99.92290727284171
2698,495650.05946823163,500001,99.12981363401906
3026,495730.3224965351,500001,99.14586620757461
3394,496413.9189543731,500001,99.28258522570417
3804,500337.5624077727,500001,99.93268765307015
4262,501020.7968771944,500001,99.79604103247905
4773,503101.5388478057,500001,99.37989347065191
5343,501270.7772586367,500001,99.74604505618254
5979,498459.9249759832,500001,99.69178561162542
6688,498554.8151732378,500001,99.71076361312033
7478,499360.5714833024,500001,99.87191455283137
8360,500502.1813366165,500001,99.89976393314883
9341,502147.80485904915,500001,99.5706398869104
10435,501485.24165912287,500001,99.7031522618709
11654,498739.07058578555,500001,99.74761462192787
13010,499515.5338811777,500001,99.9029069704216
14521,498386.1132613979,500001,99.677023298233
16202,499672.81303810794,500001,99.93436273889611
18073,498621.18799875234,500001,99.72403815167416
20155,499651.8810481585,500001,99.930176349279
22472,498096.5120624612,500001,99.61910317428588
25048,499996.8193793037,500001,99.999163877533
27913,500451.033803461,500001,99.90999341932097
31099,501328.15907854214,500001,99.73456871515414
34640,500830.9348281373,500001,99.83401336634581
38577,497944.0170375238,500001,99.5886042302963
42951,500856.59591454803,500001,99.82888115932808
47812,500091.1071649679,500001,99.9819786030492
53213,500002.74977681175,500001,99.99965004533756
59213,499984.70523972204,500001,99.9967410544623
65876,499692.7495000401,500001,99.93835002330796
73276,499885.4814696871,500001,99.97689634014473
81492,500297.54160265217,500001,99.94069179808596
90615,500123.76963879215,500001,99.97544612134934
100741,500090.4992690467,500001,99.98210018199029
111980,500147.8863936132,500001,99.9706227800318
124454,499625.596740735,500001,99.924919498308
138296,500005.91487024655,500001,99.99901702791664
153653,499918.9522760394,500001,99.9835904880269
170691,499950.76654725266,500001,99.98995332954387
189590,500205.861090095,500001,99.95902786392527
210551,499941.5112385985,500001,99.98810227151516
233799,499754.59832178184,500001,99.95071976291683
259577,499909.85991564346,500001,99.98177201958465
288160,500071.1131641716,500001,99.9859773952109
319849,499834.9031571681,500001,99.96678069787222
354979,500021.4174199876,500001,99.99591652416943
393917,500096.4360311425,500001,99.98091283194584
437075,500077.76354462944,500001,99.98464732177946
484903,499942.33232706145,500001,99.9882664888793
537903,500001.0,500001,100.0
596628,500001.0,500001,100.0
661691,500001.0,500001,100.0
733769,500001.0,500001,100.0
813613,500001.0,500001,100.0
902051,500001.0,500001,100.0
1000000,500001.0,500001,100.0
