Buffer Size,Lowest Attempt,Highest Attempt,Med of 10,Num Distinct Elements,Accuracy
1,0.0,17471716.613274023,3385432.7878923398,6037513,56.073300179930705
2,0.0,10224867.811589794,3478090.8866746733,6037513,57.60800658606736
3,1875829.8317350298,9929998.104507044,7813347.51849092,6037513,70.5866551593194
5,1741496.2291203865,20113367.00155574,5989564.97322163,6037513,99.20583149422005
6,2552123.45510651,12639486.870543316,6224199.0680084685,6037513,96.90789787105273
8,3158653.5756017463,7456130.993935431,4690664.576523072,6037513,77.69199961181155
10,3096512.327215713,9608936.39422189,5020296.54847517,6037513,83.15173066252892
12,5456198.731884744,7976388.776844313,7001897.600073482,6037513,84.02679050010357
15,3804366.019799021,6481111.430062174,5395274.1200837055,6037513,89.36252592886683
17,3756889.158770945,13774002.34876801,5618465.253918064,6037513,93.0592655273465
20,3794405.4901214237,10408318.087432908,6152100.498268202,6037513,98.10207450868921
24,4096809.7819705694,6419744.370894488,5855877.92010338,6037513,96.99155794949644
27,3722436.6884460715,10365467.149242522,5164956.590472636,6037513,85.54775104372672
31,4057208.0059388326,8077515.500500474,6159635.318116743,6037513,97.97727444865555
35,4654128.782084345,8365607.24993741,5809222.88416321,6037513,96.21880539492355
40,4520242.4066371275,8271613.622758692,6224678.71837058,6037513,96.89995336870363
45,5065220.274133613,7184893.755370599,6037769.677367628,6037513,99.99574862418305
51,4840539.607115835,6672144.413885088,5888354.623601815,6037513,97.52947320530514
57,5115438.856992328,6807831.653723246,5852689.117881784,6037513,96.93874146327775
64,5483985.012262433,6687533.479064757,5899901.639704002,6037513,97.72072771858217
71,5299923.83795209,7397605.297934405,6083540.03308474,6037513,99.23764912663972
79,4906074.050416843,6812524.549210908,6019676.423027766,6037513,99.70457078978987
88,5043381.860613588,8103105.701612872,6680679.779322449,6037513,89.34715702769586
98,5037137.094217611,7010980.345487916,5930884.604700053,6037513,98.2339020172719
108,4846965.185818531,8332270.519330175,6430969.049293505,6037513,93.4831436504815
120,5288135.822280472,6628009.940090897,6022929.782805886,6037513,99.75845655000471
132,5591322.597064275,8047575.856870125,6136565.373115951,6037513,98.35938451617493
146,4847496.457220649,6722903.081238435,6052231.981727293,6037513,99.75620786692645
161,5197201.3073323835,6687918.10456509,6230679.993412661,6037513,96.80055358203516
177,5583390.591683221,6936261.878153489,5915139.74028351,6037513,97.97311807500057
194,5504180.776329596,6319504.17287076,5801467.52799596,6037513,96.09035256728987
213,5735395.96649517,6244047.663349882,6024013.733914627,6037513,99.7764101528995
233,5683440.978994584,6718076.851671487,6101533.771614853,6037513,98.939616832049
256,5535470.781856248,6681500.15351508,5932203.313984777,6037513,98.25574394597207
280,5372024.034951761,6481930.913215793,5907004.99738835,6037513,97.83838142275387
306,5222618.05006279,6871398.868132666,5812342.796572829,6037513,96.27048085151665
334,5514413.708052956,6389157.061688739,5975139.360848742,6037513,98.96689847042552
365,5563671.272785659,6592663.914452178,6080709.576122435,6037513,99.28453030043272
398,5486084.944819568,6613721.916476044,6040847.641324222,6037513,99.94476796448765
434,5617422.441938352,6635642.68136901,6125450.250366878,6037513,98.54348553175988
473,5617765.198656895,6324864.493453043,6068910.242640404,6037513,99.47996397456363
515,5766499.269630409,6294295.943161441,6025740.718264293,6037513,99.80501438695524
561,5807851.233825517,6379399.92112902,6030399.458463805,6037513,99.88217761955634
610,5436777.081808507,6349817.667544714,6082234.839452781,6037513,99.2592671940784
663,5724388.160875932,6343866.902283761,6057271.593305793,6037513,99.6727362192712
720,5700842.797581807,6408228.784220098,6168991.988867858,6037513,97.82229886928843
782,5556268.825573167,6278901.436747867,5876526.8738209205,6037513,97.33356886885247
850,5764297.022845249,6284084.146633498,5980895.315225402,6037513,99.06223498360006
922,5714238.751439697,6351284.763918769,6032636.413637694,6037513,99.91922855715083
1000,5794535.260869521,6259121.756577213,6020226.148679504,6037513,99.71367595696282
