Buffer Size,Med of 10,Num Distinct Elements,Accuracy
1,390247.05499944184,946283,41.23999427226758
2,597206.5342102201,946283,63.11077491725203
4,893634.8498339809,946283,94.43632082939045
5,1106621.7309039142,946283,83.05594299972479
7,814513.3278716723,946283,86.07502489970467
10,1076577.4927528175,946283,86.23091688714503
12,695318.6243209438,946283,73.47893012142708
15,847423.1057461154,946283,89.55281937286365
19,892575.375840313,946283,94.32435918644983
23,902851.6502570896,946283,95.4103212524255
28,881707.8134175069,946283,93.17591179567918
33,899704.1133846404,946283,95.0777001578429
40,911460.8900548258,946283,96.32011671506578
47,855149.8259334557,946283,90.36935313573801
55,928855.7264916929,946283,98.15834443730817
65,1007026.81392608,946283,93.58079835249285
75,985856.5427399811,946283,95.81800130193811
88,940541.7438075352,946283,99.3932833843084
101,1000253.6997700094,946283,94.29655824208938
117,943341.4146177743,946283,99.68914316518148
135,887522.0455689363,946283,93.79034026490345
155,927380.4100202164,946283,98.00243796202788
178,939181.1197278213,946283,99.24949721466214
204,939330.3017921573,946283,99.2652622727194
233,891803.4391619684,946283,94.24278351845784
266,982717.2270702302,946283,96.14975360751168
303,923090.7034607655,946283,97.54911622218359
345,950440.8685164426,946283,99.56061046046028
392,945441.8747372406,946283,99.91111271546045
445,957881.0617648459,946283,98.77435589936141
505,942622.6412867341,946283,99.61318562065831
572,958918.2264868346,946283,98.66475182510574
648,973079.5757740214,946283,97.1682281332306
733,931632.5272417155,946283,98.4517873872526
828,962200.7813960873,946283,98.31786247918569
934,939677.672296153,946283,99.30197121750608
1054,943852.4302339298,946283,99.7431455742024
1188,944930.5671901626,946283,99.85707945616296
1338,926507.9778153362,946283,97.91024226529866
1506,965711.0496078744,946283,97.94690915847856
1694,931962.2628430099,946283,98.48663273492284
1905,947563.2174189169,946283,99.86471093542663
2140,941568.7947292799,946283,99.50181866622141
2403,942583.5701115945,946283,99.6090567104761
2698,953503.7048989083,946283,99.23694022835576
3026,951993.867621613,946283,99.3964947461158
3394,947650.9463132212,946283,99.85544004138073
3804,948607.9521195809,946283,99.75430689132311
4262,949474.4800325374,946283,99.6627351402765
4773,931743.2972248581,946283,98.4634931859558
5343,947683.0316943782,946283,99.85204936637578
5979,948967.0579740813,946283,99.71635779422422
6688,946369.0447737363,946283,99.99090707814298
7478,943469.9174442715,946283,99.70272291103946
8360,941099.5434477283,946283,99.4522297714033
9341,943955.9009893223,946283,99.75408001510355
10435,952574.3260623398,946283,99.33515385330395
11654,946359.7809127966,946283,99.99188605176289
13010,944684.9161615018,946283,99.83111988289991
14521,943048.2948681705,946283,99.65816725738183
16202,941170.6093197109,946283,99.4597397733776
18073,941447.7484615203,946283,99.4890269043743
20155,948429.0331592883,946283,99.77321444437992
22472,944990.8316763473,946283,99.86344800406933
25048,947480.6303723679,946283,99.87343845632142
27913,947102.6116280912,946283,99.9133862039061
31099,942572.5595386452,946283,99.6078931502146
34640,951716.4975833315,946283,99.42580627747391
38577,946815.5029319588,946283,99.94372688382242
42951,946537.2507915904,946283,99.9731316327578
47812,946126.0955633874,946283,99.98341886765242
53213,945145.3437461515,946283,99.87977631915099
59213,946415.9955912088,946283,99.98594547390064
65876,945081.2213282656,946283,99.87300007801743
73276,944312.1900942588,946283,99.7917314475964
81492,946877.3013685544,946283,99.93719623320357
90615,947022.593053278,946283,99.92184229735945
100741,947398.5979547445,946283,99.88210736589957
111980,945732.9995775251,946283,99.94187780796284
124454,947475.5347113498,946283,99.8739769486137
138296,947244.3024322069,946283,99.89841279699552
153653,946480.2059471023,946283,99.97915993977465
170691,945756.3924326514,946283,99.94434988609659
189590,946032.059697875,946283,99.97348147413354
210551,946448.7133879219,946283,99.98248796734994
233799,947103.779675808,946283,99.91326276855781
259577,947305.1875221105,946283,99.89197866577858
288160,946756.0251507882,946283,99.95001229539278
319849,944853.3185633121,946283,99.84891608148007
354979,946309.0719607945,946283,99.99724480300348
393917,945887.255581567,946283,99.95817906287728
437075,945887.7258151469,946283,99.95822875557808
484903,946314.6855978558,946283,99.99665157274771
537903,946185.1878361797,946283,99.98966353999593
596628,946268.9087754393,946283,99.99851088685301
661691,946070.3862981375,946283,99.97753170015075
733769,946481.0929370625,946283,99.97906620566337
813613,946049.5810824214,946283,99.97533307503372
902051,946090.075358307,946283,99.97961237370923
1000000,946283.0,946283,100.0
