Buffer Size,Lowest Attempt,Highest Attempt,Med of 10,Num Distinct Elements,Accuracy
1,0.0,0.0,0.0,50000,0.0
2,0.0,223376.08072196716,0.0,50000,0.0
3,0.0,112632.84259964575,0.0,50000,0.0
5,0.0,105873.82281003245,0.0,50000,0.0
6,0.0,153558.75154553802,34818.80296154156,50000,69.63760592308313
8,17159.306417221524,84648.82935788823,36874.710158270085,50000,73.74942031654017
10,26522.084971248663,99708.27469614448,50538.91954130654,50000,98.92216091738692
12,12408.497404943322,83605.72925754644,62634.41180168388,50000,74.73117639663225
15,9519.842307554507,67510.34407716496,49934.38140136522,50000,99.86876280273044
17,27595.862729841163,62904.04528346482,45823.17841524667,50000,91.64635683049335
20,38852.860121066886,64081.26700680551,52670.62439763187,50000,94.65875120473626
24,30881.295708769765,66035.28503896146,45679.38117266884,50000,91.35876234533768
27,31420.98974056612,61131.818032072544,51852.130973438834,50000,96.29573805312232
31,29306.707231776792,71446.236117445,48554.35492424527,50000,97.10870984849055
35,38069.88409053865,58332.44266006789,47932.076651896736,50000,95.86415330379347
40,34012.58907687017,71014.32466678703,48397.04032863581,50000,96.79408065727162
45,39129.4413026815,69552.37814496146,49861.30007438455,50000,99.72260014876909
51,40069.74576957258,55646.017983973536,49824.46619069299,50000,99.64893238138598
57,45638.91700508574,64235.066730838815,53123.086756398,50000,93.75382648720401
64,44319.07576714276,61898.637871574225,54911.77998254473,50000,90.17644003491054
71,38144.59425514129,64290.82831667945,53698.88375149356,50000,92.60223249701288
79,36646.709271239895,62718.71794814647,44854.500140867225,50000,89.70900028173445
88,36822.370199597375,57218.30355877354,45900.26430446791,50000,91.80052860893582
98,42207.71665098152,59595.77180855129,50896.11384625643,50000,98.20777230748715
108,35967.86078525046,59235.80517075169,50925.36039991674,50000,98.14927920016652
120,42818.379354637924,57962.676406309896,48695.32613864317,50000,97.39065227728634
132,41175.45966554758,51553.1360702503,47834.434618868836,50000,95.66886923773768
146,45884.19052141228,58078.81738083179,50661.4849705643,50000,98.67703005887141
161,45274.2516490121,56600.26227548545,51202.73052733417,50000,97.59453894533165
177,36851.90592016565,54251.48132074643,51191.08045776981,50000,97.61783908446039
194,43783.63176077557,53115.821432733144,49697.7889300134,50000,99.39557786002679
213,43342.25556097288,55360.798452981464,50884.22650141441,50000,98.23154699717118
233,41847.536184939716,57449.2510859406,49813.095717814766,50000,99.62619143562954
256,42925.00286504061,56280.44408470587,51480.82352105141,50000,97.03835295789717
280,45331.681101266666,56574.18210595163,49061.15772257508,50000,98.12231544515016
306,42000.18312865199,53127.01514813601,51585.932343120934,50000,96.82813531375814
334,43140.69898685213,53266.74587704102,47917.11428180135,50000,95.8342285636027
365,43894.83508171273,53719.1368637316,47657.41119828206,50000,95.31482239656413
398,45312.79696675479,55769.25513736055,49221.16804529217,50000,98.44233609058435
434,45393.43229334922,54838.019516864755,50862.481145417885,50000,98.27503770916422
473,44590.457826810016,52998.16065411071,49802.59002367957,50000,99.60518004735914
515,47382.762391143486,51558.66260044924,49848.83986217466,50000,99.69767972434931
561,49043.99388211633,54862.4255167047,50824.06976235813,50000,98.35186047528374
610,47274.5326685494,55232.906714898774,50684.32763686175,50000,98.6313447262765
663,45606.201405842156,53504.8792460466,50654.8894430054,50000,98.69022111398921
720,48559.180606289505,53935.160686166266,51517.339585031405,50000,96.9653208299372
782,47482.81918616747,53969.04280068417,50675.14186485729,50000,98.64971627028542
850,47253.006625116206,52791.60122040436,51236.91067671271,50000,97.52617864657458
922,45926.0369443474,51793.43228679011,49108.710752952946,50000,98.21742150590589
1000,47628.53028589773,52661.30096274685,50395.17643225618,50000,99.20964713548764
