Buffer Size,Lowest Attempt,Highest Attempt,Med of 10,Num Distinct Elements,Accuracy,Lowest Accuracy,Highest Accuracy
88,8373.273687543437,12039.761453791361,9562.345448116906,9957,96.03641104867839,84.09434254839245,79.08243995388811
98,8581.697897489197,11367.401985985107,9832.986962113715,9957,98.75451403147248,86.18758559294162,85.83507094521335
108,8357.224997401758,11336.244847430615,9966.880226643729,9957,99.90077104907374,83.93316257308183,86.14798787355011
120,8356.70746689141,11344.66165968032,9413.23079247801,9957,94.53882487172855,83.92796491806178,86.06345626513689
132,8090.738239208625,11237.025138628609,10033.452176145714,9957,99.23217659791389,81.25678657435597,87.1444698340001
146,9529.612605458036,10766.809854171632,10288.111105837692,9957,96.67458967723519,95.70766903141545,91.86692925407621
161,9040.033857640838,11130.57752428557,10363.872015272389,9957,95.91370879509502,90.79073875304647,88.21354299200993
177,8520.679752745122,11683.35307743628,10000.655783428705,9957,99.56155686021187,85.5747690342987,82.66191546212433
194,8092.227912904053,10619.26872899257,9996.034326321354,9957,99.60797101213865,81.27174764390934,93.34871217241569
213,8664.704823380604,11604.90103486922,10185.38716511043,9957,97.70626528964117,87.02123956393095,83.44982389405222
233,9551.46072035264,10933.306189987341,10154.736763030254,9957,98.01409296946616,95.92709370646419,90.19477563535862
256,9168.83561146991,10551.117184883415,9630.028041789166,9957,96.71615990548526,92.08431868504479,94.03317078554369
280,9245.322497721383,11037.2425895236,10195.379265026777,9957,97.60591277466328,92.85249068716865,89.15092307398214
306,9263.875748459002,10712.466737819295,9971.312879783956,9957,99.85625309044937,93.03882442963747,92.4127072630381
334,9283.72512142308,10968.844352685046,10000.343663477583,9957,99.56469153884119,93.23817536831456,89.83785926800195
365,9259.731626328537,10592.701083914553,9902.080493673458,9957,99.4484331994924,92.99720424152392,93.61553596550614
398,9219.643436805529,11923.752319348923,9924.68199087567,9957,99.67542423295842,92.59459110982755,80.24754123381618
434,9250.504550862357,10301.27617969923,10116.291511674479,9957,98.40020576805786,92.90453500916297,96.54237039570924
473,9320.202675458106,10609.329434994792,9697.428006664188,9957,97.39307026879771,93.60452621731551,93.4485343477474
515,9361.683336850843,10646.532904929276,10092.811376107074,9957,98.63602112978734,94.02112420257951,93.07489299056668
561,9017.705115348355,10617.337986959037,10156.839183824428,9957,97.99297796701389,90.56648704778905,93.36810297319437
610,9304.739289295821,11046.577949683557,9909.23279594607,9957,99.52026509938807,93.44922455856002,89.05716631833327
663,9312.372439185807,10601.27193345631,10179.891740127987,9957,97.76145686323203,93.52588570036966,93.52945733196435
720,9349.467721975607,10645.224014732907,10128.880445590898,9957,98.27377276698908,93.89844051396612,93.08803841786776
782,9470.731228180683,10126.996984215395,9889.948832555787,9957,99.32659267405631,95.11631242523534,98.29268871933921
850,9559.470753290145,10444.2893052879,10037.201394156069,9957,99.19452250521172,96.00753995470669,95.10606301809882
922,9316.298302003766,10449.772376498373,10034.43798414441,9957,99.22227594511992,93.56531386967728,95.05099551573393
1000,9701.729479027586,10223.522491956011,9878.080322762162,9957,99.20739502623442,97.43627075452031,97.32326512045786
