Buffer Size,Med of 10,Num Distinct Elements,Accuracy
1,0.0,50000,0.0
2,34632.42499786873,50000,69.26484999573745
4,84501.37953041424,50000,30.997240939171522
5,47484.953979531005,50000,94.969907959062
7,66713.83513463187,50000,66.57232973073627
10,66754.35114274146,50000,66.49129771451707
12,58334.76258482319,50000,83.33047483035362
15,47615.9496996567,50000,95.2318993993134
19,45787.57374330185,50000,91.5751474866037
23,55388.24230997433,50000,89.22351538005134
28,56418.768347596095,50000,87.16246330480782
33,40813.02808802703,50000,81.62605617605406
40,50207.55918717028,50000,99.58488162565943
47,54874.17719251552,50000,90.25164561496896
55,50382.09340739534,50000,99.23581318520932
65,49721.629599647145,50000,99.44325919929429
75,48848.48403361848,50000,97.69696806723695
88,54419.46091707389,50000,91.16107816585222
101,49203.74371445515,50000,98.4074874289103
117,47642.115169617835,50000,95.28423033923566
135,52927.56995022738,50000,94.14486009954524
155,49701.79262163437,50000,99.40358524326875
178,48121.50769681587,50000,96.24301539363174
204,50421.47072300869,50000,99.15705855398261
233,49501.5635021147,50000,99.00312700422941
266,49945.41954018237,50000,99.89083908036474
303,49174.92315900847,50000,98.34984631801693
345,50959.05131313315,50000,98.0818973737337
392,49180.59187630987,50000,98.36118375261972
445,49759.59906914788,50000,99.51919813829576
505,51241.985913025695,50000,97.51602817394861
572,49449.18374809317,50000,98.89836749618635
648,49936.946066856704,50000,99.87389213371341
733,49222.384963116085,50000,98.44476992623217
828,49693.26750898995,50000,99.3865350179799
934,50776.31442354627,50000,98.44737115290746
1054,49817.38425376934,50000,99.63476850753868
1188,50085.83871085428,50000,99.82832257829143
1338,49655.39685437264,50000,99.31079370874527
1506,50133.584690816475,50000,99.73283061836705
1694,49701.05513688603,50000,99.40211027377205
1905,50043.65595851814,50000,99.91268808296371
2140,50017.78852663804,50000,99.96442294672391
2403,49824.207864993776,50000,99.64841572998755
2698,49688.46792620801,50000,99.37693585241601
3026,50142.12162249712,50000,99.71575675500576
3394,49752.30415932623,50000,99.50460831865246
3804,50351.82597665598,50000,99.29634804668804
4262,49732.151120843424,50000,99.46430224168685
4773,49775.724794859416,50000,99.55144958971883
5343,50618.8277678943,50000,98.76234446421141
5979,49985.00600035518,50000,99.97001200071035
6688,50070.73459653192,50000,99.85853080693616
7478,49522.94798218009,50000,99.04589596436018
8360,50006.28945532749,50000,99.98742108934502
9341,50182.49817735333,50000,99.63500364529334
10435,50140.966480271614,50000,99.71806703945677
11654,50081.11982073114,50000,99.83776035853772
13010,49931.176776327135,50000,99.86235355265427
14521,49954.30530641869,50000,99.90861061283738
16202,49956.51566439093,50000,99.91303132878186
18073,49980.72601671762,50000,99.96145203343524
20155,49824.36297167587,50000,99.64872594335175
22472,49921.59792967835,50000,99.8431958593567
25048,50046.65961973009,50000,99.90668076053983
27913,49955.421733745854,50000,99.9108434674917
31099,50062.74347156221,50000,99.87451305687559
34640,50040.802771336435,50000,99.91839445732712
38577,50008.9582259642,50000,99.98208354807161
42951,49947.42642703635,50000,99.8948528540727
47812,49990.452113581094,50000,99.9809042271622
53213,50000.0,50000,100.0
59213,50000.0,50000,100.0
65876,50000.0,50000,100.0
73276,50000.0,50000,100.0
81492,50000.0,50000,100.0
90615,50000.0,50000,100.0
100741,50000.0,50000,100.0
111980,50000.0,50000,100.0
124454,50000.0,50000,100.0
138296,50000.0,50000,100.0
153653,50000.0,50000,100.0
170691,50000.0,50000,100.0
189590,50000.0,50000,100.0
210551,50000.0,50000,100.0
233799,50000.0,50000,100.0
259577,50000.0,50000,100.0
288160,50000.0,50000,100.0
319849,50000.0,50000,100.0
354979,50000.0,50000,100.0
393917,50000.0,50000,100.0
437075,50000.0,50000,100.0
484903,50000.0,50000,100.0
537903,50000.0,50000,100.0
596628,50000.0,50000,100.0
661691,50000.0,50000,100.0
733769,50000.0,50000,100.0
813613,50000.0,50000,100.0
902051,50000.0,50000,100.0
1000000,50000.0,50000,100.0
