Buffer Size,Med of 10,Num Distinct Elements,Accuracy
1,537589.7341549655,1000000,53.75897341549655
2,617987.8159455708,1000000,61.798781594557084
4,642966.5887973323,1000000,64.29665887973323
5,837481.7746982356,1000000,83.74817746982356
7,1358989.4986230643,1000000,64.10105013769358
10,1003974.5514561036,1000000,99.60254485438963
12,1224617.018018609,1000000,77.53829819813912
15,1085559.8179157998,1000000,91.44401820842002
19,937778.3331728855,1000000,93.77783331728855
23,976842.4908413733,1000000,97.68424908413733
28,912564.0419345301,1000000,91.25640419345301
33,1023351.2156472252,1000000,97.66487843527749
40,977921.8832949058,1000000,97.79218832949059
47,915849.185573146,1000000,91.5849185573146
55,1004643.1676194603,1000000,99.53568323805398
65,977737.8746916774,1000000,97.77378746916774
75,957405.6751807163,1000000,95.74056751807163
88,982598.0486810898,1000000,98.25980486810899
101,928579.2918904942,1000000,92.85792918904941
117,987103.3055391787,1000000,98.71033055391787
135,973294.823918579,1000000,97.32948239185791
155,1007214.4221865286,1000000,99.27855778134715
178,1018084.9210831635,1000000,98.19150789168364
204,1001364.0990030053,1000000,99.86359009969948
233,1021336.9796218781,1000000,97.86630203781219
266,972658.5537897185,1000000,97.26585537897185
303,1003862.7853137897,1000000,99.61372146862104
345,999462.7122193518,1000000,99.94627122193518
392,987706.8131418908,1000000,98.77068131418908
445,996117.7448446363,1000000,99.61177448446364
505,985586.0770364936,1000000,98.55860770364936
572,961772.7118529021,1000000,96.17727118529021
648,1005676.1343002545,1000000,99.43238656997455
733,990867.4633191489,1000000,99.08674633191488
828,1006062.4889385398,1000000,99.39375110614603
934,1022096.2620819075,1000000,97.79037379180924
1054,989053.4142283516,1000000,98.90534142283516
1188,993133.7908511498,1000000,99.31337908511499
1338,993030.6395001323,1000000,99.30306395001323
1506,1002253.7410670186,1000000,99.77462589329814
1694,993033.9922069862,1000000,99.30339922069862
1905,1003827.2357998067,1000000,99.61727642001932
2140,995301.6455862634,1000000,99.53016455862634
2403,1001884.3958643563,1000000,99.81156041356437
2698,998945.4753168111,1000000,99.89454753168111
3026,1001362.9977691527,1000000,99.86370022308473
3394,997503.9042701612,1000000,99.75039042701613
3804,987225.8746396136,1000000,98.72258746396135
4262,1009398.4849697833,1000000,99.06015150302167
4773,993600.3525521278,1000000,99.36003525521278
5343,1000609.2806175586,1000000,99.93907193824414
5979,997157.7753266487,1000000,99.71577753266487
6688,997765.5310743458,1000000,99.77655310743458
7478,997583.5888741439,1000000,99.75835888741439
8360,1002478.1279416343,1000000,99.75218720583658
9341,1001952.136815681,1000000,99.80478631843191
10435,999771.0894545408,1000000,99.97710894545408
11654,1000955.4388842038,1000000,99.90445611157962
13010,1001701.272941754,1000000,99.82987270582461
14521,997466.7459528462,1000000,99.74667459528462
16202,999966.0405346811,1000000,99.9966040534681
18073,996986.2367512356,1000000,99.69862367512356
20155,1002398.7430690551,1000000,99.76012569309448
22472,1002459.6019672708,1000000,99.75403980327292
25048,997514.8423646865,1000000,99.75148423646866
27913,1001718.814329765,1000000,99.8281185670235
31099,995421.512217223,1000000,99.54215122172229
34640,997469.3814355079,1000000,99.74693814355079
38577,996204.4140856789,1000000,99.62044140856788
42951,999155.300773626,1000000,99.91553007736259
47812,997898.3483247674,1000000,99.78983483247674
53213,1001294.3536675766,1000000,99.87056463324234
59213,997217.1873072868,1000000,99.72171873072868
65876,997898.3685596585,1000000,99.78983685596586
73276,999526.128757217,1000000,99.9526128757217
81492,1002676.6864075728,1000000,99.73233135924272
90615,997474.7494257158,1000000,99.74747494257159
100741,1000242.0514481453,1000000,99.97579485518547
111980,999189.3602632987,1000000,99.91893602632987
124454,1001145.3413611717,1000000,99.88546586388283
138296,998988.7365972168,1000000,99.89887365972167
153653,1000231.9771256985,1000000,99.97680228743016
170691,999541.2206207109,1000000,99.95412206207108
189590,1000140.1947890497,1000000,99.98598052109503
210551,998470.1308176056,1000000,99.84701308176057
233799,999976.9180322837,1000000,99.99769180322836
259577,999257.6413383116,1000000,99.92576413383117
288160,999573.7188601915,1000000,99.95737188601915
319849,999818.9369844755,1000000,99.98189369844755
354979,999386.0892335535,1000000,99.93860892335536
393917,1000475.5203345033,1000000,99.95244796654967
437075,1000021.490504015,1000000,99.9978509495985
484903,999966.7551158066,1000000,99.99667551158066
537903,1000130.2882335939,1000000,99.98697117664061
596628,1000404.147600261,1000000,99.9595852399739
661691,1000043.798072486,1000000,99.9956201927514
733769,999940.1950854701,1000000,99.99401950854701
813613,999893.7679556746,1000000,99.98937679556745
902051,999986.299555682,1000000,99.99862995556819
1000000,1000000.0,1000000,100.0
