Buffer Size,Lowest Attempt,Highest Attempt,Med of 10,Num Distinct Elements,Accuracy
1,0.0,520799.21425357944,0.0,100000,0.0
2,0.0,315360.53069847665,0.0,100000,0.0
3,0.0,543267.7968097149,56099.554343076685,100000,56.09955434307668
5,0.0,537805.5874205427,127678.98194501952,100000,72.32101805498048
6,0.0,296207.6416730116,106471.60591135446,100000,93.52839408864554
8,46058.38797708995,251576.95690234535,63429.543818921025,100000,63.42954381892103
10,27836.281609962505,166674.68666916486,85308.78770251611,100000,85.30878770251611
12,47618.81435743895,169620.4531028852,95109.61571670754,100000,95.10961571670754
15,53395.15839303379,158363.13347441156,97566.35657658149,100000,97.56635657658148
17,46817.32530805081,213292.7955174469,98407.1760131302,100000,98.4071760131302
20,61455.13014347637,144838.40904291018,91826.47791197771,100000,91.8264779119777
24,63526.9124456836,175978.76605844244,94154.6352374921,100000,94.1546352374921
27,56330.66597898876,128950.45116412653,84793.75728772326,100000,84.79375728772325
31,64540.35055017014,110278.72800980424,96813.83235385313,100000,96.81383235385313
35,35709.54852566176,143871.45310045514,94792.93112086304,100000,94.79293112086305
40,62226.11596887277,119199.9019838628,96617.05706087453,100000,96.61705706087453
45,75935.64864163537,109851.60088202675,88073.13443684159,100000,88.0731344368416
51,67437.7842968534,129761.79489017282,93857.82330761125,100000,93.85782330761126
57,75266.28781910456,137659.66815471536,103673.73696912666,100000,96.32626303087333
64,64473.18645132807,120171.14396303325,98211.87423792513,100000,98.21187423792513
71,76914.55403298247,130925.53027528239,106208.43939438614,100000,93.79156060561387
79,67693.97925946992,111666.04356030954,96259.8260185492,100000,96.2598260185492
88,73589.57875374278,108732.64849240083,98634.58551492478,100000,98.63458551492478
98,97137.18581800484,137770.48059121653,105646.37582499324,100000,94.35362417500676
108,77747.30330760915,108665.44441930883,99420.8578253073,100000,99.42085782530731
120,80594.66910702112,116766.00297395738,96012.26810675714,100000,96.01226810675713
132,79097.15224167549,111936.88821710514,98689.61208132867,100000,98.68961208132868
146,81700.93107495173,107701.41933677893,99863.97171118665,100000,99.86397171118665
161,82880.90217871896,109542.3018931672,102906.8651258866,100000,97.09313487411339
177,93684.16501770186,111344.03349093514,103973.03551179022,100000,96.02696448820977
194,91292.2215704753,109741.25952193746,101359.67232670882,100000,98.64032767329117
213,87163.87515327011,112208.64719313443,94951.30278835971,100000,94.9513027883597
233,93841.0109081722,116435.22561948185,104582.54921615528,100000,95.41745078384471
256,88499.48712140281,111474.06182807442,104522.81441461538,100000,95.47718558538462
280,87178.63356811859,113082.79664744387,99269.78705128553,100000,99.26978705128553
306,86363.24070464817,103599.16942415052,95300.20317933321,100000,95.30020317933321
334,92687.22306749823,105877.22444467602,98828.06754145029,100000,98.8280675414503
365,83720.9030432875,107664.06204643576,98038.60273243563,100000,98.03860273243562
398,90042.29325983042,108225.00881181522,97991.14372817782,100000,97.99114372817782
434,93140.92984638808,105486.79759390888,99081.7460198745,100000,99.0817460198745
473,96434.84668955694,106297.2719709959,100855.81320944052,100000,99.14418679055949
515,96893.96944700388,104210.84731333982,101030.04504828175,100000,98.96995495171824
561,94498.91024258567,106214.8054886373,100793.94470946991,100000,99.20605529053009
610,95517.03362403502,105862.62620507463,101428.84465770205,100000,98.57115534229794
663,92657.26491359972,105825.41072814247,97775.1719086832,100000,97.7751719086832
720,95239.93157568223,107024.75847849624,100793.10078366662,100000,99.20689921633338
782,93807.71916099952,105644.62678685146,101193.59133126878,100000,98.80640866873122
850,91715.72391295685,102334.44172668018,97273.58514048217,100000,97.27358514048218
922,97835.4427498896,105035.31407133912,100615.11497633148,100000,99.38488502366852
1000,94366.4818977414,103559.02513487227,100975.6170170451,100000,99.0243829829549
