Buffer Size,Lowest Attempt,Highest Attempt,Med of 10,Num Distinct Elements,Accuracy
1,2776231.0423398414,28650808.209558427,5722220.143119572,10000000,57.22220143119572
2,2453736.87300476,26821581.825791467,10523065.490433969,10000000,94.76934509566031
3,5433907.8997212015,16450216.93285408,9364402.912607186,10000000,93.64402912607186
5,5016715.014831454,26809632.067793023,9210818.490553662,10000000,92.10818490553663
6,4748352.997920612,14069051.292884385,9602151.941761386,10000000,96.02151941761386
8,6700730.745700247,15612963.641924333,10189350.618725741,10000000,98.10649381274258
10,6946699.128600081,16325908.493873082,9394116.65239765,10000000,93.94116652397649
12,5228715.101251095,12740045.48404817,8078617.411494882,10000000,80.78617411494882
15,6747403.733894061,18960851.077155612,8856302.562503211,10000000,88.56302562503211
17,6686549.134427719,13848167.348128682,7637876.774935982,10000000,76.37876774935982
20,6866139.859946771,11596860.07043804,9479963.37922043,10000000,94.79963379220429
24,8718112.282623231,15611212.105879769,12085031.35804783,10000000,79.1496864195217
27,7174768.59395693,11776342.095352273,9769569.22284214,10000000,97.69569222842141
31,8920204.440398911,15249586.893733747,9474269.557358393,10000000,94.74269557358393
35,7105781.67668772,11911997.277020197,9684842.084178612,10000000,96.84842084178612
40,7170590.312147186,11884797.427552685,10483437.661985576,10000000,95.16562338014424
45,8435964.97615321,13560723.245248765,9367925.052957324,10000000,93.67925052957324
51,7170085.183477974,12678035.160711607,10301509.923218083,10000000,96.98490076781917
57,8972967.689346401,12710868.918737117,10292235.682423033,10000000,97.07764317576967
64,8514561.055847054,12318148.255923485,10150516.853910893,10000000,98.49483146089106
71,8564560.139960172,11528473.543587148,9800977.579557035,10000000,98.00977579557035
79,8504410.357187428,10668847.566774718,9375369.395980068,10000000,93.75369395980067
88,8228926.754854845,12541716.33765839,9557303.646282628,10000000,95.57303646282628
98,8004710.211769433,11076484.148026804,9940443.6228689,10000000,99.404436228689
108,8174455.361130666,11945630.827064456,10093130.892184822,10000000,99.06869107815179
120,8385201.108952848,11171066.934800139,9563629.331542278,10000000,95.63629331542278
132,9221502.950939214,11868604.415610667,10097197.162832607,10000000,99.02802837167394
146,9378978.432607008,11754914.068468336,10178219.371353919,10000000,98.21780628646081
161,8552868.981019087,11005294.939298874,9934125.209700514,10000000,99.34125209700514
177,9227755.624360215,10835317.509907307,9958994.765474081,10000000,99.58994765474081
194,8906803.322614333,11854707.34545823,10112031.77493042,10000000,98.87968225069581
213,8822088.795798812,11011390.279602924,10362228.678075971,10000000,96.37771321924029
233,9536716.76257838,10923616.108143387,10065931.406781,10000000,99.34068593219001
256,8943259.21637029,11108933.790007187,10160084.148022596,10000000,98.39915851977405
280,9249094.552282259,10737211.387207884,10024275.100173464,10000000,99.75724899826535
306,9326736.42656476,10705682.913201723,10126395.25142784,10000000,98.7360474857216
334,8830593.037299177,11212576.53317549,10239723.971000083,10000000,97.60276028999917
365,8994863.84206544,10789588.901827537,9736390.11955741,10000000,97.36390119557412
398,9482167.967324102,10090197.601078305,9830846.509768352,10000000,98.30846509768352
434,9404781.374558646,10791688.55720617,10113495.614529112,10000000,98.86504385470887
473,9014589.260224782,10570840.074760394,9939100.528509721,10000000,99.39100528509721
515,9254230.695156889,10422106.746941272,9767134.405271098,10000000,97.67134405271098
561,9578313.336868774,10530870.645930693,9967486.984650489,10000000,99.67486984650489
610,9224882.11573209,10925409.153054947,10028801.35786542,10000000,99.71198642134581
663,8945778.824833699,10887494.296537014,10017186.659877714,10000000,99.82813340122286
720,9547183.780527482,10401545.411885235,9859590.768359058,10000000,98.59590768359058
782,9662958.97803136,10592034.0802413,10047560.969535409,10000000,99.52439030464592
850,9619570.801701287,10618837.661097186,10139940.547470797,10000000,98.60059452529202
922,9599542.585850555,10718087.36213116,10071524.175638225,10000000,99.28475824361776
1000,9559279.29989077,10210211.642275697,9861086.965510163,10000000,98.61086965510162
